Formula target PBE cell_range_Electronegativity cell_mean_Electronegativity cell_mean_MeltingT cell_mean_GSvolume_pa cell_range_Number cell_Max_Electronegativity cell_Max_CovalentRadius cell_Max_GSvolume_pa cell_reduce_MeltingT
Cl6Cr2 3.251363 1.19 1.955 1.3925 336.85 10.585312 6.75 2.37 76.5 18.373125 104.113849
As2I6 2.8954009999999997 2.24 1.45 1.27 281.31875 18.9025 31.5 1.995 104.25 32.26125 140.52115
O6Sb2Tl2 3.797015 2.74 1.74 0.932667 109.67866699999999 5.718999999999999 11.4 2.064 39.6 6.312 22.415767000000002
In2Te2 1.8824439999999998 1.25 0.16 0.97 288.1025 14.755832999999999 1.5 1.05 71.0 17.381667 134.745071
C2H2 4.414537999999999 3.46 0.175 1.1875 959.2525 3.06375 2.5 1.275 38.0 3.3075 6.979423
Rh2S2 0.5899909999999999 0.16 0.15 1.215 656.34 9.856719 14.5 1.29 71.0 12.893436999999999 165.455656
Br2Ge2N2 2.609648 1.48 0.343333 0.89 171.13888899999998 7.472639 9.333333 1.013333 40.0 9.826667 16.301396
Bi2I6 3.274315 2.56 1.49 1.25 213.11875 20.249375 19.0 1.995 104.25 32.26125 92.642514
Br2Cr2Se2 1.754618 0.13 0.43333299999999997 0.796667 326.644444 7.398889 3.666667 0.986667 46.333333 9.826667 53.374031
Cl2Mo1 0.790768 0.01 1.386667 1.413333 539.866667 10.780833 2.666667 2.106667 68.0 16.331667000000003 102.279081
C2W3 0.218875 0.01 0.396 1.218 1873.1 5.943 42.0 1.416 97.2 9.63 904.9800859999999
Pt1S2 2.726041 1.85 0.96 1.24 469.686667 11.098958 15.333332999999998 1.72 70.0 17.19125 187.547751
Bi2Br2S2 2.5373799999999997 1.74 0.313333 0.84 133.173333 9.801875 22.333333 0.986667 49.333333 10.983333 40.779497
C1F2Si1 3.3806849999999997 1.93 1.515 1.034167 468.083333 3.79125 3.0 1.99 28.5 5.11 24.509473999999997
Br6Nb2 1.448564 0.62 1.82 1.31 443.425 13.3275 16.0 2.22 90.0 22.11 154.53923999999998
Ga1N1 3.809653 2.53 0.615 1.2125 91.49 8.406562 12.0 1.52 61.0 9.42875 26.093664999999998
I2Mg1 3.8667059999999998 2.96 1.336667 1.105 282.783333 18.153333 31.333333000000003 1.7733330000000003 92.666667 28.676667 140.29686999999998
Cl2Rh2Se2 0.635817 0.13 0.293333 0.8877780000000001 322.51111099999997 7.1175 9.333333 1.053333 47.333333 8.64 40.166331
I2Sc1 0.183453 0.01 1.32 1.113333 431.283333 18.044167 28.333333000000003 1.7733330000000003 92.666667 28.676667 180.790123
Ge1O2 5.388883 3.58 1.623333 1.481667 220.166667 6.869167 5.3333330000000005 2.293333 44.0 7.6683330000000005 33.502256
Hf1I2 0.22207800000000003 0.02 1.34 1.103333 546.616667 18.038332999999998 11.333333 1.7733330000000003 92.666667 28.676667 197.059914
Br2Lu2S2 4.07771 3.03 0.563333 0.756667 287.79555600000003 9.347986 18.333333 0.986667 62.333332999999996 9.826667 48.635625
Cl2O2Tl2 1.971163 0.97 0.606667 0.913333 89.266667 6.723611 24.333333 1.146667 48.333333 8.97 12.9155
Mn1O2 3.237294 1.85 1.7766669999999998 1.405 271.433333 4.782931 3.0 2.293333 46.333333 6.07 34.074746999999995
Br2Sc2Se2 2.6163060000000002 1.94 0.533333 0.763333 285.977778 8.626111 4.6666669999999995 0.986667 56.666667000000004 9.826667 52.594597
Br4Nb2Se4 2.056295 1.42 0.8640000000000001 0.841333 284.64 8.598666999999999 5.8 1.1840000000000002 48.0 11.792 61.408168
S2Sn1 2.517988 1.74 1.066667 1.186667 213.633333 14.143125 6.0 1.72 70.0 17.19125 102.019488
I2Mo1 0.403281 0.01 1.053333 1.246667 611.616667 16.953332999999997 21.333333 1.7733330000000003 92.666667 28.676667 203.525738
Al2Br6 3.69757 2.58 1.8175 1.31125 216.35875 13.115 23.0 2.22 90.0 22.11 107.510815
P2Sn2 2.024928 1.39 0.115 1.0375 205.595 13.96381 17.5 1.095 69.5 16.6425 97.437854
Cl2H2Lu2 0.5319550000000001 0.01 0.63 0.736667 235.734444 6.664167 23.333333 1.053333 62.333332999999996 9.621667 4.288811
Br6Ga2 2.644381 1.57 1.7675 1.33625 137.53875 13.412188 18.5 2.22 90.0 22.11 54.880086999999996
In1P1 1.987739 1.07 0.205 0.9925 186.7625 11.70756 17.0 1.095 71.0 12.13 91.265427
Fe1O2 0.901314 0.47 1.6833330000000002 1.451667 320.1 4.823333 3.333333 2.293333 44.0 6.07 34.44854
